#: table_doi: 10.17182/hepdata.68951.v1/t5
#: name: Table 5
#: description: HERA combined reduced cross sections $\sigma_{r,\rm NC}^{-}$ for NC $e^{-}p$ scattering at $\sqrt{s} = 318$ GeV;
# $\delta_{\rm stat}$, $\delta_{\rm uncor}$ and $\delta_{\rm cor}$ represent the statistical, uncorrelated systematic and correlated systematic uncertainties, respectively;
# $\delta_{\rm rel}$, $\delta_{\gamma p}$, $\delta_{\rm had}$ and $\delta_{1}$ to $\delta_{4}$ are the correlated sources of uncertainties arising from the combination procedure.
# The uncertainties are quoted in percent relative to $\sigma_{r,\rm NC}^{-}$.

#: data_file: Table5.yaml
#: keyword reactions: E- P --> E- X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 318.0
#: RE,E- P --> E- X
#: SQRT(S) [GeV],318.0
# Q**2 [GEV**2],XB,"$\sigma_{r,\rm NC}^{-}$",stat +,stat -,"sys,uncor +","sys,uncor -","sys,cor +","sys,cor -","sys,rel +","sys,rel -","sys,$\gamma p$ +","sys,$\gamma p$ -","sys,had +","sys,had -","sys,1 +","sys,1 -","sys,2 +","sys,2 -","sys,3 +","sys,3 -","sys,4 +","sys,4 -"
650.0,0.02,0.778,1.2,-1.2,0.43,-0.43,1.0,-1.0,0.07,-0.07,-0.05,0.05,0.0,-0.0,0.0,-0.0,-0.05,0.05,-0.12,0.12,-0.08,0.08
650.0,0.032,0.625,1.32,-1.32,0.55,-0.55,1.03,-1.03,0.09,-0.09,-0.04,0.04,-0.02,0.02,0.0,-0.0,-0.04,0.04,-0.12,0.12,-0.11,0.11
650.0,0.05,0.534,1.31,-1.31,0.52,-0.52,0.99,-0.99,0.13,-0.13,-0.03,0.03,-0.05,0.05,0.0,-0.0,-0.05,0.05,-0.19,0.19,-0.07,0.07
650.0,0.08,0.435,1.45,-1.45,0.71,-0.71,1.01,-1.01,0.08,-0.08,-0.04,0.04,-0.09,0.09,0.0,-0.0,-0.05,0.05,-0.13,0.13,-0.06,0.06
650.0,0.13,0.362,1.59,-1.59,0.77,-0.77,1.03,-1.03,0.14,-0.14,-0.04,0.04,-0.02,0.02,0.0,-0.0,-0.05,0.05,-0.08,0.08,-0.02,0.02
650.0,0.18,0.333,2.49,-2.49,1.6,-1.6,1.05,-1.05,0.23,-0.23,-0.03,0.03,-0.12,0.12,0.0,-0.0,-0.05,0.05,-0.34,0.34,-0.04,0.04
650.0,0.25,0.256,1.86,-1.86,1.0,-1.0,1.29,-1.29,0.36,-0.36,-0.05,0.05,-0.04,0.04,0.0,-0.0,-0.04,0.04,-0.23,0.23,-0.08,0.08
650.0,0.4,0.126,4.75,-4.75,3.33,-3.33,1.56,-1.56,0.83,-0.83,-0.04,0.04,0.1,-0.1,0.02,-0.02,-0.04,0.04,-0.45,0.45,-0.09,0.09
800.0,0.0105,0.963,2.7,-2.7,1.87,-1.87,1.02,-1.02,-0.08,0.08,-0.01,0.01,-0.02,0.02,0.0,-0.0,-0.05,0.05,0.0,-0.0,-0.08,0.08
800.0,0.013,0.888,1.45,-1.45,0.36,-0.36,1.11,-1.11,0.23,-0.23,-0.13,0.13,-0.02,0.02,0.0,-0.0,-0.04,0.04,-0.37,0.37,-0.1,0.1
800.0,0.02,0.752,1.42,-1.42,0.52,-0.52,1.0,-1.0,0.1,-0.1,-0.07,0.07,-0.01,0.01,0.0,-0.0,-0.05,0.05,-0.14,0.14,-0.08,0.08
800.0,0.032,0.641,1.45,-1.45,0.54,-0.54,1.0,-1.0,0.06,-0.06,-0.05,0.05,0.01,-0.01,0.0,-0.0,-0.05,0.05,-0.08,0.08,-0.07,0.07
800.0,0.05,0.547,1.42,-1.42,0.42,-0.42,1.01,-1.01,0.12,-0.12,-0.04,0.04,-0.08,0.08,0.0,-0.0,-0.05,0.05,-0.22,0.22,-0.11,0.11
800.0,0.08,0.452,1.56,-1.56,0.48,-0.48,1.05,-1.05,0.05,-0.05,-0.04,0.04,-0.07,0.07,0.0,-0.0,-0.05,0.05,-0.12,0.12,-0.06,0.06
800.0,0.13,0.373,1.8,-1.8,0.49,-0.49,1.0,-1.0,0.12,-0.12,-0.04,0.04,-0.07,0.07,0.0,-0.0,-0.05,0.05,-0.16,0.16,-0.07,0.07
800.0,0.18,0.326,3.07,-3.07,1.68,-1.68,1.05,-1.05,0.25,-0.25,-0.03,0.03,-0.1,0.1,0.0,-0.0,-0.05,0.05,-0.4,0.4,-0.04,0.04
800.0,0.25,0.254,2.16,-2.16,0.64,-0.64,1.14,-1.14,0.28,-0.28,-0.04,0.04,-0.04,0.04,0.0,-0.0,-0.05,0.05,-0.22,0.22,-0.08,0.08
800.0,0.4,0.141,4.71,-4.71,3.85,-3.85,1.82,-1.82,1.19,-1.19,-0.04,0.04,0.01,-0.01,0.01,-0.01,-0.05,0.05,-0.75,0.75,-0.1,0.1
800.0,0.65,0.016,21.2,-21.2,12.49,-12.49,2.51,-2.51,2.8,-2.8,-0.1,0.1,-0.25,0.25,0.01,-0.01,-0.07,0.07,-0.46,0.46,0.09,-0.09
1000.0,0.013,0.862,2.75,-2.75,1.5,-1.5,1.38,-1.38,0.73,-0.73,-1.03,1.03,-0.17,0.17,0.0,-0.0,-0.04,0.04,-0.13,0.13,-0.18,0.18
1000.0,0.02,0.77,2.3,-2.3,0.96,-0.96,1.01,-1.01,0.14,-0.14,-0.11,0.11,0.03,-0.03,0.0,-0.0,-0.05,0.05,-0.02,0.02,-0.09,0.09
1000.0,0.032,0.658,2.32,-2.32,1.05,-1.05,1.01,-1.01,0.06,-0.06,-0.03,0.03,0.02,-0.02,0.0,-0.0,-0.05,0.05,-0.02,0.02,-0.09,0.09
1000.0,0.05,0.517,2.5,-2.5,1.38,-1.38,1.03,-1.03,0.09,-0.09,-0.03,0.03,0.0,-0.0,0.0,-0.0,-0.04,0.04,0.0,-0.0,-0.11,0.11
1000.0,0.08,0.44,2.72,-2.72,1.01,-1.01,1.02,-1.02,0.06,-0.06,-0.02,0.02,-0.09,0.09,0.0,-0.0,-0.05,0.05,-0.09,0.09,-0.05,0.05
1000.0,0.13,0.369,3.21,-3.21,1.3,-1.3,1.04,-1.04,-0.04,0.04,-0.02,0.02,-0.07,0.07,0.0,-0.0,-0.05,0.05,-0.31,0.31,-0.04,0.04
1000.0,0.18,0.345,3.23,-3.23,1.59,-1.59,1.03,-1.03,0.19,-0.19,-0.03,0.03,-0.06,0.06,0.0,-0.0,-0.05,0.05,-0.37,0.37,-0.05,0.05
1000.0,0.25,0.281,3.57,-3.57,1.97,-1.97,1.12,-1.12,0.37,-0.37,-0.03,0.03,-0.11,0.11,0.0,-0.0,-0.05,0.05,-0.46,0.46,-0.05,0.05
1000.0,0.4,0.137,5.13,-5.13,4.02,-4.02,1.76,-1.76,1.04,-1.04,-0.03,0.03,0.04,-0.04,0.01,-0.01,-0.05,0.05,-0.54,0.54,-0.1,0.1
1200.0,0.014,0.916,1.93,-1.93,0.46,-0.46,1.51,-1.51,0.4,-0.4,-0.44,0.44,-0.01,0.01,0.0,-0.0,-0.04,0.04,-0.12,0.12,-0.12,0.12
1200.0,0.02,0.801,1.62,-1.62,0.4,-0.4,1.04,-1.04,0.17,-0.17,-0.15,0.15,-0.01,0.01,0.0,-0.0,-0.04,0.04,-0.15,0.15,-0.1,0.1
1200.0,0.032,0.639,1.58,-1.58,0.48,-0.48,1.0,-1.0,0.09,-0.09,-0.05,0.05,-0.01,0.01,0.0,-0.0,-0.05,0.05,-0.12,0.12,-0.08,0.08
1200.0,0.05,0.557,1.47,-1.47,0.39,-0.39,1.0,-1.0,0.06,-0.06,-0.03,0.03,-0.04,0.04,0.0,-0.0,-0.05,0.05,-0.13,0.13,-0.11,0.11
1200.0,0.08,0.462,1.53,-1.53,0.39,-0.39,1.0,-1.0,0.08,-0.08,-0.04,0.04,-0.06,0.06,0.0,-0.0,-0.05,0.05,-0.18,0.18,-0.09,0.09
