# redx2009_full data excluding for 0.85 < q2 < 50.
q2	x	y	cme	redx	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	tot+	tot-	err
12.0	0.00032	0.41600000000000004	301.0	1.2329999999999999	0.78	-0.78	1.51	-1.51	0.85	-0.85	0.39	-0.39	0.63	-0.63	0.27	-0.27	0.5	-0.5	2.057401273451536
12.0	0.00032	0.371	319.0	1.2329999999999999	0.81	-0.81	0.59	-0.59	0.74	-0.74	0.27	-0.27	0.55	-0.55	0.13	-0.13	0.5	-0.5	1.3943098651304164
12.0	0.0005	0.237	319.0	1.153	0.54	-0.54	0.66	-0.66	0.65	-0.65	0.27	-0.27	0.13	-0.13	0.09	-0.09	0.5	-0.5	1.1169601604354562
12.0	0.0008	0.14800000000000002	319.0	1.056	0.68	-0.68	0.56	-0.56	0.64	-0.64	0.25	-0.25	-0.01	0.01	0.13	-0.13	0.5	-0.5	1.1247666424641158
12.0	0.0013	0.091	319.0	0.941	1.02	-1.02	0.83	-0.83	0.65	-0.65	0.21	-0.21	-0.08	0.08	0.18	-0.18	0.5	-0.5	1.494891300396119
12.0	0.002	0.059000000000000004	319.0	0.856	1.03	-1.03	0.94	-0.94	0.65	-0.65	0.1	-0.1	-0.02	0.02	0.15	-0.15	0.5	-0.5	1.5491610632855448
12.0	0.0032	0.037000000000000005	319.0	0.757	1.12	-1.12	1.36	-1.36	0.75	-0.75	0.17	-0.17	-0.13	0.13	0.27	-0.27	0.5	-0.5	1.9455590456215923
12.0	0.005	0.024	319.0	0.682	0.85	-0.85	1.26	-1.26	0.8	-0.8	0.22	-0.22	0.08	-0.08	0.13	-0.13	0.5	-0.5	1.738332534355841
15.0	0.0002	0.831	301.0	1.27	3.19	-3.19	3.61	-3.61	0.93	-0.93	0.34	-0.34	0.21	-0.21	0.04	-0.04	0.5	-0.5	4.9228447060617295
15.0	0.000246	0.6759999999999999	301.0	1.37	1.17	-1.17	1.52	-1.52	1.39	-1.39	0.51	-0.51	1.94	-1.94	0.38	-0.38	0.5	-0.5	3.1272192120156843
15.0	0.00032	0.52	301.0	1.3	0.94	-0.94	1.36	-1.36	0.92	-0.92	0.47	-0.47	1.07	-1.07	0.11	-0.11	0.5	-0.5	2.226544407821232
15.0	0.00032	0.46299999999999997	319.0	1.324	0.84	-0.84	0.7	-0.7	1.35	-1.35	0.26	-0.26	1.32	-1.32	0.12	-0.12	0.5	-0.5	2.200568108466539
15.0	0.0005	0.29600000000000004	319.0	1.217	0.47	-0.47	0.65	-0.65	0.66	-0.66	0.29	-0.29	0.21	-0.21	0.11	-0.11	0.5	-0.5	1.1042191811411357
