	qsq2	cme	x	sig	e1	e2	e3	e4	e5	e6	e7	e8	e9	e10	e11	e12	e13	e14	e15	e16	e17	e18	e19	e20
70	1.5	318.0	1.85e-05	0.619	3.14	-3.14	3.48	-3.48	5.44	-5.44	0.82	-0.82	-7.49	7.49	-0.06	0.06	-5.81	5.81	-0.3	0.3	-0.04	0.04	-0.04	0.04
71	1.5	318.0	2.2e-05	0.696	1.94	-1.94	1.78	-1.78	1.62	-1.62	0.43	-0.43	-0.29	0.29	-0.06	0.06	-0.29	0.29	-0.06	0.06	0.0	-0.0	0.03	-0.03
72	1.5	318.0	3.2e-05	0.753	1.73	-1.73	2.15	-2.15	1.2	-1.2	0.38	-0.38	0.07	-0.07	-0.24	0.24	0.13	-0.13	-0.02	0.02	0.0	-0.0	0.05	-0.05
73	1.5	318.0	5e-05	0.76	1.05	-1.05	1.98	-1.98	1.15	-1.15	0.54	-0.54	-0.63	0.63	-0.4	0.4	0.1	-0.1	0.0	-0.0	0.0	-0.0	0.03	-0.03
74	1.5	318.0	8e-05	0.6990000000000001	1.26	-1.26	2.15	-2.15	1.37	-1.37	0.55	-0.55	-0.33	0.33	-0.37	0.37	-0.08	0.08	-0.01	0.01	0.01	-0.01	0.05	-0.05
75	1.5	318.0	0.00013000000000000002	0.6459999999999999	1.46	-1.46	2.43	-2.43	1.55	-1.55	0.53	-0.53	-0.48	0.48	-0.48	0.48	-0.47	0.47	-0.01	0.01	0.01	-0.01	0.05	-0.05
76	1.5	318.0	0.0002	0.612	2.08	-2.08	2.86	-2.86	1.65	-1.65	0.57	-0.57	-0.47	0.47	0.22	-0.22	0.39	-0.39	0.0	-0.0	0.01	-0.01	0.04	-0.04
77	1.5	318.0	0.00032	0.5770000000000001	1.49	-1.49	2.26	-2.26	1.61	-1.61	0.43	-0.43	-0.68	0.68	-0.67	0.67	0.23	-0.23	-0.01	0.01	0.01	-0.01	0.04	-0.04
78	1.5	318.0	0.0005	0.547	2.52	-2.52	7.05	-7.05	1.89	-1.89	0.37	-0.37	-0.29	0.29	-0.15	0.15	-0.41	0.41	0.0	-0.0	0.01	-0.01	0.04	-0.04
79	1.5	318.0	0.0008	0.49	2.36	-2.36	2.47	-2.47	1.37	-1.37	0.57	-0.57	-0.54	0.54	-0.04	0.04	0.36	-0.36	0.0	-0.0	0.01	-0.01	0.05	-0.05
80	1.5	318.0	0.001	0.462	5.22	-5.22	3.74	-3.74	1.37	-1.37	0.55	-0.55	-0.04	0.04	-0.66	0.66	-0.04	0.04	0.0	-0.0	0.03	-0.03	0.08	-0.08
81	1.5	318.0	0.0032	0.41	2.31	-2.31	2.04	-2.04	1.41	-1.41	0.61	-0.61	-0.28	0.28	0.16	-0.16	-0.67	0.67	0.0	-0.0	0.01	-0.01	0.1	-0.1
83	2.0	318.0	2.47e-05	0.7809999999999999	2.31	-2.31	2.7	-2.7	4.11	-4.11	0.85	-0.85	-5.29	5.29	0.14	-0.14	-3.43	3.43	-0.22	0.22	-0.03	0.03	-0.02	0.02
84	2.0	318.0	2.9299999999999997e-05	0.7879999999999999	1.49	-1.49	1.65	-1.65	1.47	-1.47	0.44	-0.44	-0.34	0.34	0.02	-0.02	-0.46	0.46	-0.06	0.06	0.0	-0.0	0.03	-0.03
85	2.0	318.0	5e-05	0.823	1.52	-1.52	1.93	-1.93	1.0	-1.0	0.42	-0.42	-0.18	0.18	-0.18	0.18	0.13	-0.13	-0.01	0.01	0.01	-0.01	0.05	-0.05
86	2.0	318.0	8e-05	0.762	0.97	-0.97	1.34	-1.34	0.98	-0.98	0.53	-0.53	-0.2	0.2	-0.38	0.38	0.27	-0.27	0.0	-0.0	0.0	-0.0	0.05	-0.05
87	2.0	318.0	0.00013000000000000002	0.723	1.11	-1.11	1.3	-1.3	1.07	-1.07	0.5	-0.5	-0.2	0.2	-0.26	0.26	0.36	-0.36	0.0	-0.0	0.0	-0.0	0.05	-0.05
88	2.0	318.0	0.0002	0.679	1.12	-1.12	1.32	-1.32	1.18	-1.18	0.56	-0.56	-0.36	0.36	0.28	-0.28	0.18	-0.18	0.0	-0.0	0.01	-0.01	0.06	-0.06
89	2.0	318.0	0.00032	0.627	1.01	-1.01	1.65	-1.65	1.31	-1.31	0.45	-0.45	-0.33	0.33	-0.1	0.1	0.58	-0.58	0.0	-0.0	0.01	-0.01	0.06	-0.06
90	2.0	318.0	0.0005	0.575	1.17	-1.17	2.04	-2.04	1.38	-1.38	0.44	-0.44	0.02	-0.02	0.07	-0.07	0.22	-0.22	0.0	-0.0	0.02	-0.02	0.03	-0.03
91	2.0	318.0	0.001	0.51	0.99	-0.99	1.79	-1.79	1.1	-1.1	0.45	-0.45	-0.15	0.15	0.24	-0.24	-0.33	0.33	0.0	-0.0	0.01	-0.01	0.05	-0.05
92	2.0	318.0	0.0032	0.426	1.07	-1.07	1.89	-1.89	1.47	-1.47	0.57	-0.57	-0.25	0.25	0.48	-0.48	-0.9	0.9	0.0	-0.0	0.01	-0.01	0.1	-0.1
94	2.7	318.0	3.09e-05	0.845	2.28	-2.28	2.3	-2.3	2.4	-2.4	0.8	-0.8	-3.17	3.17	-0.36	0.36	-2.05	2.05	-0.37	0.37	0.0	-0.0	-0.04	0.04
95	2.7	318.0	3.66e-05	0.866	1.99	-1.99	1.88	-1.88	1.27	-1.27	0.57	-0.57	-1.32	1.32	-0.16	0.16	-0.97	0.97	-0.28	0.28	0.01	-0.01	-0.04	0.04
96	2.7	318.0	4.09e-05	0.937	6.84	-6.84	4.76	-4.76	2.44	-2.44	1.5	-1.5	-0.37	0.37	0.17	-0.17	-0.08	0.08	-1.68	1.68	0.0	-0.0	0.14	-0.14
97	2.7	318.0	5e-05	0.883	1.51	-1.51	1.65	-1.65	0.98	-0.98	0.43	-0.43	-0.17	0.17	-0.04	0.04	-0.04	0.04	-0.02	0.02	0.01	-0.01	0.04	-0.04
98	2.7	318.0	8e-05	0.889	0.72	-0.72	1.03	-1.03	0.85	-0.85	0.47	-0.47	-0.3	0.3	-0.31	0.31	0.26	-0.26	0.0	-0.0	0.0	-0.0	0.04	-0.04
99	2.7	318.0	0.00013000000000000002	0.805	0.62	-0.62	0.87	-0.87	0.82	-0.82	0.46	-0.46	0.02	-0.02	-0.26	0.26	0.18	-0.18	0.0	-0.0	0.01	-0.01	0.05	-0.05
100	2.7	318.0	0.0002	0.7809999999999999	0.76	-0.76	1.61	-1.61	0.94	-0.94	0.46	-0.46	-0.31	0.31	0.02	-0.02	0.19	-0.19	0.0	-0.0	0.01	-0.01	0.06	-0.06
101	2.7	318.0	0.00032	0.7	0.84	-0.84	1.27	-1.27	0.96	-0.96	0.55	-0.55	-0.27	0.27	-0.02	0.02	0.82	-0.82	0.0	-0.0	0.02	-0.02	0.05	-0.05
102	2.7	318.0	0.0005	0.645	0.69	-0.69	1.35	-1.35	1.05	-1.05	0.46	-0.46	-0.21	0.21	-0.11	0.11	0.4	-0.4	0.0	-0.0	0.02	-0.02	0.04	-0.04
103	2.7	318.0	0.0008	0.594	0.88	-0.88	1.84	-1.84	0.92	-0.92	0.42	-0.42	-0.17	0.17	0.0	-0.0	0.04	-0.04	0.0	-0.0	0.02	-0.02	0.06	-0.06
104	2.7	318.0	0.0013	0.5670000000000001	0.69	-0.69	1.63	-1.63	1.0	-1.0	0.46	-0.46	-0.1	0.1	0.28	-0.28	-0.2	0.2	0.0	-0.0	0.02	-0.02	0.07	-0.07
105	2.7	318.0	0.002	0.48100000000000004	0.91	-0.91	2.74	-2.74	0.99	-0.99	0.43	-0.43	-0.27	0.27	-0.41	0.41	0.04	-0.04	0.01	-0.01	0.0	-0.0	0.14	-0.14
106	2.7	318.0	0.005	0.45299999999999996	0.74	-0.74	1.82	-1.82	1.43	-1.43	0.53	-0.53	-0.32	0.32	0.43	-0.43	-0.84	0.84	0.01	-0.01	0.01	-0.01	0.12	-0.12
108	3.5	318.0	4.0600000000000004e-05	0.8059999999999999	6.14	-6.14	4.17	-4.17	1.18	-1.18	1.09	-1.09	-0.25	0.25	-0.46	0.46	-0.04	0.04	-0.75	0.75	-0.01	0.01	-0.15	0.15
109	3.5	318.0	4.3200000000000007e-05	0.8809999999999999	3.08	-3.08	2.83	-2.83	3.31	-3.31	0.7	-0.7	-4.07	4.07	0.56	-0.56	-2.62	2.62	-0.18	0.18	-0.01	0.01	-0.05	0.05
110	3.5	318.0	4.6e-05	0.965	3.05	-3.05	2.99	-2.99	1.1	-1.1	0.35	-0.35	-0.21	0.21	-0.41	0.41	-0.05	0.05	-0.15	0.15	-0.01	0.01	-0.22	0.22
111	3.5	318.0	5.12e-05	0.94	2.16	-2.16	2.25	-2.25	1.53	-1.53	0.52	-0.52	-1.61	1.61	0.05	-0.05	-1.16	1.16	-0.07	0.07	0.01	-0.01	0.01	-0.01
112	3.5	318.0	5.31e-05	0.88	3.1	-3.1	2.64	-2.64	0.91	-0.91	0.48	-0.48	-0.2	0.2	-0.3	0.3	-0.03	0.03	-0.01	0.01	-0.01	0.01	-0.21	0.21
113	3.5	318.0	8e-05	0.9520000000000001	1.25	-1.25	1.55	-1.55	0.88	-0.88	0.43	-0.43	-0.26	0.26	-0.09	0.09	-0.08	0.08	-0.09	0.09	0.01	-0.01	0.03	-0.03
114	3.5	318.0	0.00013000000000000002	0.9179999999999999	0.66	-0.66	0.86	-0.86	0.8	-0.8	0.45	-0.45	-0.13	0.13	-0.28	0.28	0.18	-0.18	0.0	-0.0	0.02	-0.02	0.06	-0.06
115	3.5	318.0	0.0002	0.8540000000000001	0.68	-0.68	0.83	-0.83	0.81	-0.81	0.44	-0.44	0.09	-0.09	-0.22	0.22	0.26	-0.26	0.0	-0.0	0.01	-0.01	0.08	-0.08
116	3.5	318.0	0.00032	0.7909999999999999	0.72	-0.72	0.88	-0.88	0.86	-0.86	0.5	-0.5	-0.21	0.21	-0.01	0.01	0.11	-0.11	0.0	-0.0	0.01	-0.01	0.07	-0.07
